course_id,course_name,concentration,is_core,prerequisites,credits
ITCS 5010,Topics in Computer Science,,FALSE,,3
ITCS 5102,Survey of Programming Languages,"""Software, Systems, and Networks Concentration""",FALSE,,3
ITCS 5121,Information Visualization,,FALSE,,3
ITCS 5122,Visual Analytics,Data Science Concentration,TRUE,"""STAT 1220, STAT 1221, STAT 1222, STAT 2122, STAT 2223""",3
ITCS 5123,Visualization and Visual Communication,Data Science Concentration,FALSE,,3
ITCS 5141,Computer System and Architecture: Software's Perspective,,FALSE,,
ITCS 5150,Mobile Robotics,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 5153,Applied Artificial Intelligence,"""AI, Robotics, and Gaming Concentration"", Data Science Concentration",FALSE,,
ITCS 5154,Applied Machine Learning,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 5161,Intellectual Property Aspects of Computing,,FALSE,,
ITCS 5180,Mobile Application Development,"""Software, Systems, and Networks Concentration"", Capstone",FALSE,,
ITCS 5182,Introduction to High Performance Computing,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 5230,Introduction to Game Design and Development,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 5231,Advanced Game Design and Development,"""AI, Robotics, and Gaming Concentration"", Capstone",FALSE,,
ITCS 5232,Game Design and Development Studio,"""AI, Robotics, and Gaming Concentration"", Capstone",FALSE,,
ITCS 5235,Game Engine Construction,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 5236,Artificial Intelligence for Computer Games,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 5356,Introduction to Machine Learning,,TRUE,,
ITCS 6010,Topics in Computer Science,,FALSE,,
ITCS 6040,Topics in Data Science,Data Science Concentration,FALSE,,
ITCS 6050,Topics in Artificial Intelligence,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 6100,Big Data Analytics for Competitive Advantage,Data Science Concentration,FALSE,,
ITCS 6101,Natural Language Processing,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 6112,Software System Design and Implementation,"""Software, Systems, and Networks Concentration"", Capstone",FALSE,,
ITCS 6114,Algorithms and Data Structures,,TRUE,,
ITCS 6115,Advanced Algorithms,"""AI, Robotics, and Gaming Concentration"", Data Science Concentration, ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 6116,Optimization for Machine Learning,,FALSE,,
ITCS 6120,Computer Graphics,"""AI, Robotics, and Gaming Concentration""",TRUE,,
ITCS 6121,Data and Information Visualization,"""AI, Robotics, and Gaming Concentration"", Data Science Concentration",FALSE,,
ITCS 6124,Illustrative Visualization,Data Science Concentration,FALSE,,
ITCS 6125,Virtual and Augmented Reality,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 6132,Modeling and Analysis of Communication Networks,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 6134,Digital Image Processing,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 6141,Computer System and Architecture: Performance and Implementation,"""Software, Systems, and Networks Concentration""",TRUE,,
ITCS 6144,Operating Systems Design,,FALSE,,
ITCS 6145,Parallel Computing,"""Software, Systems, and Networks Concentration""",TRUE,,
ITCS 6150,Artificial Intelligence,"""AI, Robotics, and Gaming Concentration"", Information Security and Privacy Concentration",TRUE,,
ITCS 6151,Intelligent Robotics,"""AI, Robotics, and Gaming Concentration""",TRUE,,
ITCS 6152,Robot Motion Planning,"""AI, Robotics, and Gaming Concentration""",TRUE,,
ITCS 6155,Knowledge-Based Systems,Data Science Concentration,FALSE,,
ITCS 6156,Machine Learning,"""AI, Robotics, and Gaming Concentration""",TRUE,,
ITCS 6157,Visual Databases,Data Science Concentration,FALSE,,
ITCS 6160,Database Systems,Data Science Concentration,FALSE,,
ITCS 6161,Advanced Topics in Database Systems,Data Science Concentration,FALSE,,
ITCS 6162,Data Mining,Data Science Concentration,TRUE,,
ITCS 6163,Data Warehousing,Data Science Concentration,FALSE,,
ITCS 6165,Coding and Information Theory,,FALSE,,
ITCS 6166,Computer Communications and Networks,"""Software, Systems, and Networks Concentration""",TRUE,,
ITCS 6167,Advanced Networking Protocols,"Information Security and Privacy Concentration, ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 6168,Wireless Communication Networks,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 6169,Computer Vision,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 6190,Cloud Computing for Data Analysis,"Data Science Concentration, ""Software, Systems, and Networks Concentration""",TRUE,,
ITCS 6216,Introduction to Cognitive Science,,FALSE,,
ITCS 6265,Advanced Topics in Data Mining,Data Science Concentration,FALSE,,
ITCS 6322,Complex Adaptive Systems,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 6345,Modern Data Science Systems,Data Science Concentration,FALSE,,
ITCS 6490,Industrial Internship,"""AI, Robotics, and Gaming Concentration"", Data Science Concentration, Information Security and Privacy Concentration, ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 6617,Computational Human Behavior Modeling,,FALSE,,
ITCS 6880,Individual Study,Capstone,FALSE,,
ITCS 6881,"Individual Study in AI, Robotics, and Gaming","""AI, Robotics, and Gaming Concentration"", Capstone",FALSE,,
ITCS 6882,Individual Study in Data Science,"Data Science Concentration, Capstone",FALSE,,
ITCS 6883,"Individual Study in Software, Systems, and Networks","""Software, Systems, and Networks Concentration"", Capstone",FALSE,,
ITCS 6991,Computer Science Thesis,"""AI, Robotics, and Gaming Concentration"", Data Science Concentration, ""Software, Systems, and Networks Concentration"", Capstone",FALSE,,
ITCS 8010,Topics in Computer Science,,FALSE,,
ITCS 8050,Topics in Artificial Intelligence,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8101,Natural Language Processing,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8112,Software Systems Design and Implementation,"""AI, Robotics, and Gaming Concentration"", ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8114,Algorithms and Data Structures,Data Science Concentration,FALSE,,
ITCS 8115,Advanced Algorithms,,FALSE,,
ITCS 8116,Optimization for Machine Learning,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8120,Computer Graphics,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8121,Data and Information Visualization,Data Science Concentration,FALSE,,
ITCS 8124,Illustrative Visualization,Data Science Concentration,FALSE,,
ITCS 8125,Virtual and Augmented Reality,,FALSE,,
ITCS 8132,Modeling and Analysis of Communication Networks,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8134,Digital Image Processing,,FALSE,,
ITCS 8141,Computer System and Architecture: Performance and Implementation,"""AI, Robotics, and Gaming Concentration"", ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8144,Operating Systems Design,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8145,Parallel Computing,"""AI, Robotics, and Gaming Concentration"", ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8150,Artificial Intelligence,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8151,Intelligent Robotics,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8152,Robot Motion Planning,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8155,Knowledge-Based Systems,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8156,Machine Learning,"""AI, Robotics, and Gaming Concentration"", Data Science Concentration",FALSE,,
ITCS 8157,Visual Databases,"Data Science Concentration, ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8160,Database Systems,"Data Science Concentration, ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8161,Advanced Topics in Database Systems,"Data Science Concentration, ""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8162,Data Mining,Data Science Concentration,FALSE,,
ITCS 8163,Data Warehousing,"""AI, Robotics, and Gaming Concentration"", Data Science Concentration",FALSE,,
ITCS 8165,Coding and Information Theory,,FALSE,,
ITCS 8166,Computer Communications and Networks,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8167,Advanced Networking Protocols,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8168,Wireless Communication Networks,"""Software, Systems, and Networks Concentration""",FALSE,,
ITCS 8169,Computer Vision,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITCS 8190,Cloud Computing for Data Analysis,Data Science Concentration,FALSE,,
ITCS 8224,Biomedical Image Processing,,FALSE,,
ITCS 8322,Complex Adaptive Systems,"""Software, Systems, and Networks Concentration""",FALSE,,
ITSC 8110,Introduction to Computing and Information Systems Research,"""AI, Robotics, and Gaming Concentration"", ""Software, Systems, and Networks Concentration""",FALSE,,
ITSC 8665,Graduate Teaching Seminar,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITSC 8699,Graduate Research Seminar,"""AI, Robotics, and Gaming Concentration""",FALSE,,
ITSC 8880,Individual Study,,FALSE,,
ITSC 8990,Pre-Dissertation Research,"""AI, Robotics, and Gaming Concentration"", Capstone",FALSE,,
ITSC 8991,Doctoral Dissertation Research,"""AI, Robotics, and Gaming Concentration"", Capstone",FALSE,,
